2011-12-08,0.000000
2011-12-09,0.000000
2011-12-10,0.000000
2011-12-11,0.000000
2011-12-12,0.000000
2011-12-13,0.000000
2011-12-14,0.000000
2011-12-15,0.000000
2011-12-16,0.000000
2011-12-17,0.000000
2011-12-18,0.000000
2011-12-19,0.000000
2011-12-20,0.000000
2011-12-21,0.000000
2011-12-22,0.000000
2011-12-23,0.000000
2011-12-24,0.000000
2011-12-25,0.000000
2011-12-26,0.000000
2011-12-27,0.000000
2011-12-28,0.000000
2011-12-29,0.000000
2011-12-30,0.000000
2011-12-31,0.000000
2012-01-01,0.000000
2012-01-02,0.000000
2012-01-03,0.000000
2012-01-04,0.000000
2012-01-05,0.000000
2012-01-06,0.000000
2012-01-07,0.000000
2012-01-08,0.000000
2012-01-09,0.000000
2012-01-10,0.000000
2012-01-11,0.000000
2012-01-12,0.000000
2012-01-13,0.000000
2012-01-14,0.000000
2012-01-15,0.000000
2012-01-16,0.000000
2012-01-17,0.000000
2012-01-18,0.000000
2012-01-19,0.000000
2012-01-20,0.000000
2012-01-21,0.000000
2012-01-22,0.000000
2012-01-23,0.000000
2012-01-24,0.000000
2012-01-25,0.000000
2012-01-26,0.000000
2012-01-27,0.000000
2012-01-28,0.000000
2012-01-29,0.000000
2012-01-30,0.000000
2012-01-31,0.018080
2012-02-01,0.000000
2012-02-02,0.000000
2012-02-03,0.000000
2012-02-04,0.002297
2012-02-05,0.000000
2012-02-06,0.000000
2012-02-07,0.000000
2012-02-08,0.000000
2012-02-09,0.000000
2012-02-10,0.000000
2012-02-11,0.000000
2012-02-12,0.000000
2012-02-13,0.000000
2012-02-14,0.000000
2012-02-15,0.000000
2012-02-16,0.000000
2012-02-17,0.000000
2012-02-18,0.000000
2012-02-19,0.000000
2012-02-20,0.000000
2012-02-21,0.000000
2012-02-22,0.000000
2012-02-23,0.000000
2012-02-24,0.000000
2012-02-25,0.000000
2012-02-26,0.000000
2012-02-27,0.000000
2012-02-28,0.000000
2012-02-29,0.030897
2012-03-01,0.000000
2012-03-02,0.000000
2012-03-03,0.000000
2012-03-04,0.000000
2012-03-05,0.000000
2012-03-06,0.005146
2012-03-07,0.066922
2012-03-08,0.002989
2012-03-09,0.000000
2012-03-10,0.000000
2012-03-11,0.000000
2012-03-12,0.034781
2012-03-13,0.000903
2012-03-14,0.000000
2012-03-15,0.000000
2012-03-16,0.000000
2012-03-17,0.000000
2012-03-18,0.000000
2012-03-19,0.000000
2012-03-20,0.000000
2012-03-21,0.000000
2012-03-22,0.000000
2012-03-23,0.000000
2012-03-24,0.000000
2012-03-25,0.000000
2012-03-26,0.000000
2012-03-27,0.000000
2012-03-28,0.000000
2012-03-29,0.000000
2012-03-30,0.000686
2012-03-31,0.000000
2012-04-01,0.000000
2012-04-02,0.000000
2012-04-03,0.000000
2012-04-04,0.000000
2012-04-05,0.000000
2012-04-06,0.000000
2012-04-07,0.000000
2012-04-08,0.000000
2012-04-09,0.000000
2012-04-10,0.000000
